INDIAN INSTITUTE OF MANAGEMENT CALCUTTA,,,,,,,,,,,,,
,,,,,,,,,,,,,
POST  GRADUATE  PROGRAMME  IN  MANAGEMENT ,,,,,,,,,,,,,
,,,PGP-II,,,,,,,,,,
PGDM 54th & FELLOWSHIP,,,CLASS SCHEDULE (TERM-VI) : 2018 - 19,,,"(w.e.f. December 10, 2018 to March 1, 2019)",,,,,,,
,,,,,,,,,,,,,
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,
8.30-10.00 am,,,"Managing Luxury Business 
(PM-CC/ASom) N-22


",,"Managing Luxury Business 
(PM-CC/ASom) N-22


",,,,,,,,
10.15-11.45 am,"Select Issues in Banking and Monetary Policy 
(Pre Mid Term) 

Topics in Macroeconomics
(Post Mid Term)

Social Network Analytics","Organisational Structure & Design

FMCG Retailing Trends and Strategies (Pre Mid Term)

The Economics of Business Policy 
(ANS) L- 4
","Managing Luxury Business 
(PM-CC/ASom) N-22

Organizational Leadership: Inspiration, Dilemmas and Action
(CJ) L- 51

Politics of Development
(RC-PTVF/RB-CC) L- 1s","Organisational Structure & Design

FMCG Retailing Trends and Strategies (Pre Mid Term)

The Economics of Business Policy (ANS) L- 4","Managing Luxury Business 
(PM-CC/ASom) N-22

Organizational Leadership: Inspiration, Dilemmas and Action
(CJ) L- 51

Politics of Development
(RC-PTVF/RB-CC) L- 1","Digital and Social Media Marketing
(Siddhesh-VF/PM-CC)

Credit Risk Management (Deb-PTVF/Psen-CC) 
Fin Lab

Topics in Financial Services
(Bala R-VF/ABJ-CC) ",,,,,,,
12.00 - 1.30 pm,"International Economics 
(PP) L- 1

Market Reform and Economic Governance in Asia (Post-Mid Term) (BPA-CC/CS-PTVF) ","Revenue Management & Dynamic Pricing  (PB-CC/Sb) L-4

B2B Marketing
(KC)  L-  52

","Global Political Economy of the 21st Century 
 
Management Practices Across Cross Cultural Contexts
 (Compulsory for CEMS-MIM) (AG) N- 22","Revenue Management & Dynamic Pricing  (PB-CC/Sb) L-4

B2B Marketing
(KC)  L-  52
","Strategic Marketing of Innovation and Technology Business
(KR-CC/ Bagri-PTVF) L-1","Digital and Social Media Marketing
(Siddhesh-VF/PM-CC)

Credit Risk Management (Deb-PTVF/Psen-CC) 
Fin Lab

Topics in Financial Services
(Bala R-VF/ABJ-CC) ",,,,,,,
1.30 - 2.30 ,Lunch,,,Lunch,Lunch,Lunch,Lunch,,,,,,
2.30 - 4.00 pm,"Market Reform and Economic Governance in Asia 
(Post Mid Term) 
(CS-PTVF/BPA-CC) N-22

Fintech","Market Reform and Economic Governance in Asia (Post-Mid Term) (BPA-CC/CS-PTVF) 

International Economics 
(PP) L- 1","Select Issues in Banking and Monetary Policy 
(Pre Mid Term) 

Topics in Macroeconomics
(Post Mid Term)

Social Network Analytics","International Marketing (A ) 
(AKB) L- 4

Games and Information 

Designing Corporate Citizenship Initiatives","Strategic Marketing of Innovation and Technology Business
(KR-CC/ Bagri-PTVF) L-1
",Fintech,,,,,,,
4.15 - 5.45 pm,"Global Political Economy of the 21st Century 
 
Management Practices Across Cross Cultural Contexts
 (Compulsory for CEMS-MIM) (AG) N- 22","International Marketing (A ) 
(AKB) L- 4

Games and Information 

Designing Corporate Citizenship Initiatives





","Management Through Films
(BC-CC/PRay/VJ/BC/AP/Smeeta) L-51

Marketing  and Society (RV) 





","International Marketing (B ) 
(AKB) L- 4

Strategic Marketing of Innovation and Technology Business
(KR-CC/ Bagri-PTVF) L-1
","Digital and Social Media Marketing
(Siddhesh-VF/PM-CC)

Credit Risk Management 
(Pre-mid Term)
(Deb-VF/Arnab-CC) Fin Lab

Topics in Financial Services
(Bala R-VF/ABJ-CC) ",,,,,,,,
